GO IPR KO
GO:0000030 IPR026051 K03854
GO:0000030 IPR026051 K10967
GO:0000030 IPR026051 K05284
GO:0000030 IPR003342 K03854
GO:0000030 IPR003342 K10967
GO:0000030 IPR003342 K05284
GO:0000030 IPR007873 K03854
GO:0000030 IPR007873 K10967
GO:0000030 IPR007873 K05284
GO:0000030 IPR039484 K03854
GO:0000030 IPR039484 K10967
GO:0000030 IPR039484 K05284
GO:0000030 IPR002685 K03854
GO:0000030 IPR002685 K10967
GO:0000030 IPR002685 K05284
GO:0000062 IPR000582 K08762
GO:0000062 IPR035984 K08762
GO:0000107 IPR004651 K02500
GO:0000107 IPR004651 K01663
GO:0000107 IPR004651 K02501
GO:0000107 IPR014640 K02500
GO:0000107 IPR014640 K01663
GO:0000107 IPR014640 K02501
GO:0000155 IPR036097 K13532
GO:0000155 IPR036097 K13490
GO:0000155 IPR036097 K13533
GO:0000155 IPR036097 K07650
GO:0000155 IPR036097 K20263
GO:0000155 IPR036097 K10942
GO:0000155 IPR036097 K07677
GO:0000155 IPR036097 K07649
GO:0000155 IPR036097 K19609
GO:0000155 IPR036097 K07678
GO:0000155 IPR036097 K13587
GO:0000155 IPR036097 K02486
GO:0000155 IPR036097 K10125
GO:0000155 IPR036097 K07676
GO:0000155 IPR036097 K11231
GO:0000155 IPR036097 K18345
GO:0000155 IPR036097 K11357
GO:0000155 IPR036097 K19661
GO:0000155 IPR036097 K02478
GO:0000155 IPR036097 K07717
GO:0000155 IPR036097 K11520
GO:0000155 IPR036097 K02480
GO:0000155 IPR036097 K07718
GO:0000155 IPR036097 K07716
GO:0000155 IPR036097 K02482
GO:0000155 IPR036097 K20487
GO:0000155 IPR036097 K07675
GO:0000155 IPR036097 K12294
GO:0000155 IPR036097 K03407
GO:0000155 IPR036097 K07651
GO:0000155 IPR036097 K07697
GO:0000155 IPR036097 K17060
GO:0000155 IPR036097 K14986
GO:0000155 IPR036097 K07673
GO:0000155 IPR036097 K14988
GO:0000155 IPR036097 K07709
GO:0000155 IPR036097 K14980
GO:0000155 IPR036097 K07710
GO:0000155 IPR036097 K14982
GO:0000155 IPR036097 K11617
GO:0000155 IPR036097 K11623
GO:0000155 IPR036097 K02484
GO:0000155 IPR036097 K07777
GO:0000155 IPR036097 K19621
GO:0000155 IPR036097 K07647
GO:0000155 IPR036097 K18143
GO:0000155 IPR036097 K07674
GO:0000155 IPR036097 K11633
GO:0000155 IPR036097 K11383
GO:0000155 IPR036097 K20973
GO:0000155 IPR036097 K07701
GO:0000155 IPR036097 K18940
GO:0000155 IPR036097 K11640
GO:0000155 IPR036097 K19694
GO:0000155 IPR036097 K15850
GO:0000155 IPR036097 K18072
GO:0000155 IPR036097 K11614
GO:0000155 IPR036097 K07778
GO:0000155 IPR036097 K02489
GO:0000155 IPR036097 K07769
GO:0000155 IPR036097 K07656
GO:0000155 IPR036097 K07711
GO:0000155 IPR036097 K10681
GO:0000155 IPR036097 K07708
GO:0000155 IPR036097 K13040
GO:0000155 IPR036097 K14978
GO:0000155 IPR036097 K19690
GO:0000155 IPR036097 K19691
GO:0000155 IPR036097 K18350
GO:0000155 IPR036097 K18351
GO:0000155 IPR036097 K19692
GO:0000155 IPR036097 K07683
GO:0000155 IPR036097 K08475
GO:0000155 IPR036097 K20339
GO:0000155 IPR036097 K07704
GO:0000155 IPR036097 K07768
GO:0000155 IPR036097 K20974
GO:0000155 IPR036097 K20975
GO:0000155 IPR036097 K02668
GO:0000155 IPR036097 K07698
GO:0000155 IPR036097 K07700
GO:0000155 IPR036097 K11354
GO:0000155 IPR036097 K07652
GO:0000155 IPR036097 K20960
GO:0000155 IPR036097 K00936
GO:0000155 IPR036097 K11629
GO:0000155 IPR036097 K08479
GO:0000155 IPR036097 K07640
GO:0000155 IPR036097 K02476
GO:0000155 IPR036097 K19077
GO:0000155 IPR036097 K11356
GO:0000155 IPR036097 K07648
GO:0000155 IPR036097 K11637
GO:0000155 IPR036097 K10916
GO:0000155 IPR036097 K07638
GO:0000155 IPR036097 K08082
GO:0000155 IPR036097 K18986
GO:0000155 IPR036097 K07644
GO:0000155 IPR036097 K19081
GO:0000155 IPR036097 K14489
GO:0000155 IPR036097 K07706
GO:0000155 IPR036097 K10909
GO:0000155 IPR036097 K07654
GO:0000155 IPR036097 K07655
GO:0000155 IPR036097 K07653
GO:0000155 IPR036097 K07646
GO:0000155 IPR036097 K07643
GO:0000155 IPR036097 K19616
GO:0000155 IPR036097 K15011
GO:0000155 IPR036097 K11711
GO:0000155 IPR036097 K11691
GO:0000155 IPR036097 K02491
GO:0000155 IPR036097 K07637
GO:0000155 IPR036097 K06596
GO:0000155 IPR036097 K07642
GO:0000155 IPR036097 K07680
GO:0000155 IPR036097 K07681
GO:0000155 IPR036097 K07645
GO:0000155 IPR036097 K07679
GO:0000155 IPR036097 K10715
GO:0000155 IPR036097 K11328
GO:0000155 IPR036097 K07682
GO:0000155 IPR036097 K07636
GO:0000155 IPR036097 K13598
GO:0000155 IPR036097 K07641
GO:0000155 IPR036097 K11527
GO:0000155 IPR036097 K07639
GO:0000155 IPR036097 K11526
GO:0000155 IPR003661 K13532
GO:0000155 IPR003661 K13490
GO:0000155 IPR003661 K13533
GO:0000155 IPR003661 K07650
GO:0000155 IPR003661 K20263
GO:0000155 IPR003661 K10942
GO:0000155 IPR003661 K07677
GO:0000155 IPR003661 K07649
GO:0000155 IPR003661 K19609
GO:0000155 IPR003661 K07678
GO:0000155 IPR003661 K13587
GO:0000155 IPR003661 K02486
GO:0000155 IPR003661 K10125
GO:0000155 IPR003661 K07676
GO:0000155 IPR003661 K11231
