TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0003777", "microtubule motor activity", 0.186774888171784, -1.27795838000517, -1.16352636367767, 4.74188400066132, NaN, 0.980471032740639, 0, null, False
"GO:0009976", "tocopherol cyclase activity", 0.00233164041800187, 4.0783064226647, 7.41708747480643, 2.83884909073726, NaN, 0.966660386682601, 0, null, False
"GO:0003963", "RNA-3'-phosphate cyclase activity", 0.00540439731139186, null, null, 3.20357677497797, NaN, 0.86281195775363, 0.70420974, 9976, True
"GO:0003911", "DNA ligase (NAD+) activity", 0.0306328143160421, null, null, 3.95679252037049, NaN, 0.826803461817939, 0.7440272, 9976, True
"GO:0003910", "DNA ligase (ATP) activity", 0.0534179158173579, null, null, 4.19827209846935, NaN, 0.820893143390669, 0.90489549, 9976, True
"GO:0016531", "copper chaperone activity", 0.00889678179815229, 3.56769435699344, 7.24956374443702, 3.41995574848976, NaN, 0.993092718813977, 0, null, False
"GO:0005344", "oxygen carrier activity", 0.0405617446301458, null, null, 4.07871050532828, NaN, 0.967716095434664, 0.72356956, 16531, True
"GO:0005049", "nuclear export signal receptor activity", 0.0235938998466024, null, null, 3.84341966520492, NaN, 0.963905097496539, 0.76723339, 16531, True
"GO:0032977", "membrane insertase activity", 0.0475938909125956, null, null, 4.14813973650122, NaN, 0.95939303935621, 0.86903382, 16531, True
"GO:0017056", "structural constituent of nuclear pore", 0.0657800093543112, -5.36961016152935, -1.43613656814788, 4.28867391976451, NaN, 0.967327543925251, 0, null, False
"GO:0042030", "ATPase inhibitor activity", 0.0164365421048405, -1.85899787590768, 0.421116441153551, 3.68645751046911, NaN, 0.982640983503025, 0, null, False
"GO:0043856", "anti-sigma factor antagonist activity", 0.0355769749121244, 5.45706919839947, -6.4124558237051, 4.02176797268241, NaN, 0.984135562118943, 0, null, False
"GO:0001228", "DNA-binding transcription activator activity, RNA polymerase II-specific", 0.0891708635912183, null, null, 4.42079710099985, NaN, 0.983189666118572, 0.65826947, 43856, True
"GO:2001070", "starch binding", 0.0232859473385644, -4.07304933530887, 0.00497575808048302, 3.83771466828491, NaN, 0.996676516175374, 0, null, False
"GO:0016251", "RNA polymerase II general transcription initiation factor activity", 0.0157495711253712, 6.0678986840905, -5.63196785738086, 3.66791968531736, NaN, 0.929463370334169, 0.00646348, null, False
"GO:0047793", "cycloeucalenol cycloisomerase activity", 0.0010050757679921, -5.137555783454, -3.8642793811566, 2.47421626407626, NaN, 0.933172795503301, 0.01560939, null, False
"GO:0004512", "inositol-3-phosphate synthase activity", 0.0145008406257446, null, null, 3.63205216670581, NaN, 0.923210483119724, 0.75803375, 47793, True
"GO:0016853", "isomerase activity", 2.52668941476875, 3.23946110757438, 7.69774408470863, 5.87311008948841, NaN, 0.950426047097818, 0.02412933, null, False
"GO:0050194", "phosphonoacetaldehyde hydrolase activity", 0.00264297701953478, -0.98708232648938, -4.17164426232944, 2.89320675305985, NaN, 0.929346115563161, 0.02434202, null, False
"GO:0045550", "geranylgeranyl reductase activity", 0.00341793442987212, -2.46750108660949, 4.69933429694329, 3.004751155591, NaN, 0.917067782376955, 0.02479031, null, False
"GO:0016851", "magnesium chelatase activity", 0.00980710294828655, -4.44793468631689, -5.21699253196834, 3.462248215355, NaN, 0.91117642692439, 0.02681468, null, False
"GO:0030366", "molybdopterin synthase activity", 0.0155329891416961, 5.54549177364017, 3.86304751454902, 3.66190729276602, NaN, 0.883982313706186, 0.02780526, null, False
"GO:0004076", "biotin synthase activity", 0.0211675048107427, null, null, 3.79629674005179, NaN, 0.881908105074488, 0.67752935, 30366, True
"GO:0008146", "sulfotransferase activity", 0.119519414053687, null, null, 4.5480083987382, NaN, 0.869893980012177, 0.67888937, 30366, True
"GO:0004792", "thiosulfate sulfurtransferase activity", 0.0447952455922944, null, null, 4.12182237675218, NaN, 0.876567910104612, 0.72190404, 30366, True
"GO:0016992", "lipoate synthase activity", 0.0297157249789179, null, null, 3.94359343276837, NaN, 0.851104857005838, 0.73737115, 30366, True
"GO:0031071", "cysteine desulfurase activity", 0.0711065725153199, null, null, 4.32248806051808, NaN, 0.873033285793678, 0.78037766, 30366, True
"GO:0008685", "2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity", 0.0244060822853839, -5.67223184257829, 3.41870751474115, 3.85811593219007, NaN, 0.908392191454938, 0.0288526, null, False
"GO:0033897", "ribonuclease T2 activity", 0.0184669982017942, null, null, 3.73703353133388, NaN, 0.766031634384212, 0.7811156, 8685, True
"GO:0032051", "clathrin light chain binding", 0.00998984399701239, -6.1064271197431, 1.07580540983436, 3.47026344696508, NaN, 0.988714041583723, 0.03110535, null, False
"GO:0008139", "nuclear localization sequence binding", 0.0110422970739334, 4.50347967205935, 7.13011195182552, 3.51375015008182, NaN, 0.992832548009201, 0.03128363, null, False
"GO:0008658", "penicillin binding", 0.14221314503064, null, null, 4.62350772211151, NaN, 0.987152133925417, 0.68848877, 8139, True
"GO:0000062", "fatty-acyl-CoA binding", 0.0283654716744437, null, null, 3.92339946615872, NaN, 0.986885397138936, 0.7326056, 8139, True
"GO:0005545", "1-phosphatidylinositol binding", 0.0170761357753809, 5.00906266330592, 7.03847755436636, 3.70303330473369, NaN, 0.99455621411285, 0.03208397, null, False
"GO:0032266", "phosphatidylinositol-3-phosphate binding", 0.0250321395819447, null, null, 3.86911432697938, NaN, 0.994479005230312, 0.71361891, 5545, True
"GO:0043023", "ribosomal large subunit binding", 0.0687174025079043, -4.23495231097076, 1.11938280260449, 4.30764576881692, NaN, 0.994297098979391, 0.03493873, null, False
"GO:0051015", "actin filament binding", 0.131495720932219, null, null, 4.58948044393962, NaN, 0.983303308866074, 0.70810319, 43023, True
"GO:0008061", "chitin binding", 0.114879821872148, 1.9950987553647, 7.32834750736503, 4.53081419350462, NaN, 0.994152055234871, 0.0389071, null, False
"GO:0016829", "lyase activity", 3.59670593692842, 2.13117085812648, 7.95888028550666, 6.02646298729386, NaN, 0.948899263955041, 0.04942248, null, False
"GO:0020037", "heme binding", 1.45224988241121, 2.7036331470334, 7.67497292442964, 5.63260000887697, NaN, 0.991329424198848, 0.04969697, null, False
"GO:0031419", "cobalamin binding", 0.138023637283925, null, null, 4.61052176289591, NaN, 0.99126278754827, 0.74915935, 20037, True
"GO:0017070", "U6 snRNA binding", 0.0119966114395017, -2.49177172053137, -1.78142795766189, 3.5497387312649, NaN, 0.990870011433054, 0.08639577, null, False
"GO:0033916", "beta-agarase activity", 0.000730964194903345, -1.59159995277237, -5.23756167005108, 2.33645973384853, NaN, 0.922521537228385, 0.11932732, null, False
"GO:0050487", "sulfoacetaldehyde acetyltransferase activity", 0.00184433095473298, 2.71982447749318, 2.4606820678084, 2.73719264270474, NaN, 0.882084173006975, 0.1217235, null, False
"GO:0004421", "hydroxymethylglutaryl-CoA synthase activity", 0.0103654783749488, null, null, 3.48628876096057, NaN, 0.870854068706952, 0.64507429, 50487, True
"GO:0004474", "malate synthase activity", 0.0208392477417352, null, null, 3.78951020409025, NaN, 0.865685740622633, 0.73369063, 50487, True
"GO:0004108", "citrate (Si)-synthase activity", 0.0236074362205821, null, null, 3.84366872297914, NaN, 0.864719397369152, 0.76957763, 50487, True
"GO:0003852", "2-isopropylmalate synthase activity", 0.0424737574547773, null, null, 4.09871293057888, NaN, 0.859978314742971, 0.8035809, 50487, True
"GO:0050333", "thiamin-triphosphatase activity", 0.00123857821914178, 1.4040249587661, -7.31561213195028, 2.56466606425209, NaN, 0.926267386367596, 0.12220863, null, False
"GO:0046406", "magnesium protoporphyrin IX methyltransferase activity", 0.00263620883254494, 6.92268867102664, 4.13291880669413, 2.89209460269048, NaN, 0.873151839847869, 0.12397491, null, False
"GO:0004671", "protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity", 0.0159086235196325, null, null, 3.67228262478892, NaN, 0.825756529064165, 0.61259262, 46406, True
"GO:0009020", "tRNA (guanosine-2'-O-)-methyltransferase activity", 0.00472419451891236, null, null, 3.14519640611418, NaN, 0.783380076366685, 0.6316963, 46406, True
"GO:0016274", "protein-arginine N-methyltransferase activity", 0.0430964306578431, null, null, 4.10503305039359, NaN, 0.812551890661566, 0.69868793, 46406, True
"GO:0000179", "rRNA (adenine-N6,N6-)-dimethyltransferase activity", 0.047137038290781, null, null, 4.14395111642396, NaN, 0.763671900927818, 0.69993465, 46406, True
"GO:0008175", "tRNA methyltransferase activity", 0.209245268978072, null, null, 4.79122031801495, NaN, 0.734402240284404, 0.73467402, 46406, True
"GO:0016428", "tRNA (cytosine-5-)-methyltransferase activity", 0.0062233479371632, null, null, 3.26481782300954, NaN, 0.781965107233611, 0.74200341, 46406, True
"GO:0004809", "tRNA (guanine-N2-)-methyltransferase activity", 0.0106700467894919, null, null, 3.49886168899288, NaN, 0.774236389528754, 0.76812425, 46406, True
"GO:0016279", "protein-lysine N-methyltransferase activity", 0.102324835005984, null, null, 4.48055306269927, NaN, 0.800826425403005, 0.78755213, 46406, True
"GO:0016435", "rRNA (guanine) methyltransferase activity", 0.0667512441873541, null, null, 4.29503902878759, NaN, 0.759516955687431, 0.78834581, 46406, True
"GO:0016429", "tRNA (adenine-N1-)-methyltransferase activity", 0.0203857792134155, null, null, 3.77995705124691, NaN, 0.767301753588016, 0.80202786, 46406, True
"GO:0016300", "tRNA (uracil) methyltransferase activity", 0.0328595478357013, null, null, 3.98726395412224, NaN, 0.76257669002552, 0.82901089, 46406, True
"GO:0008176", "tRNA (guanine-N7-)-methyltransferase activity", 0.0344026944693862, null, null, 4.00719282355704, NaN, 0.759081232885126, 0.83170071, 46406, True
"GO:0004719", "protein-L-isoaspartate (D-aspartate) O-methyltransferase activity", 0.0384196134478596, null, null, 4.05514888988939, NaN, 0.816632969861523, 0.85900336, 46406, True
"GO:0030410", "nicotianamine synthase activity", 0.00317089560474275, 5.6302630320018, 5.02186027930052, 2.97220283837906, NaN, 0.883093875125772, 0.12517178, null, False
"GO:0003975", "UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity", 0.00566497251050093, 7.69639828448759, -1.03533565014842, 3.22401481137286, NaN, 0.866601869234127, 0.12908775, null, False
"GO:0008818", "cobalamin 5'-phosphate synthase activity", 0.0160101463244802, null, null, 3.67504473595589, NaN, 0.858764568614884, 0.62172029, 3975, True
"GO:0008808", "cardiolipin synthase activity", 0.0196345104575426, null, null, 3.76365257056453, NaN, 0.857116689538518, 0.666454, 3975, True
"GO:0008963", "phospho-N-acetylmuramoyl-pentapeptide-transferase activity", 0.0558849199751567, null, null, 4.21787857802743, NaN, 0.848035815455221, 0.71844161, 3975, True
"GO:0008897", "holo-[acyl-carrier-protein] synthase activity", 0.0577190986494049, null, null, 4.23190264945664, NaN, 0.818732335633903, 0.77027119, 3975, True
"GO:0003956", "NAD(P)+-protein-arginine ADP-ribosyltransferase activity", 0.00616581834774952, 4.60229660022808, 3.98213698366717, 3.26078666865498, NaN, 0.869924482423329, 0.12968005, null, False
"GO:0008939", "nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity", 0.0182944094335532, null, null, 3.73295636957562, NaN, 0.861852717312763, 0.55975287, 3956, True
"GO:0003879", "ATP phosphoribosyltransferase activity", 0.0289543039425603, null, null, 3.93232153198929, NaN, 0.858139380603118, 0.61142964, 3956, True
"GO:0003999", "adenine phosphoribosyltransferase activity", 0.0275702097031368, null, null, 3.91105102032813, NaN, 0.857729418452828, 0.62677358, 3956, True
"GO:0004044", "amidophosphoribosyltransferase activity", 0.0308324758322425, null, null, 3.95961371107104, NaN, 0.857615639454029, 0.63109194, 3956, True
"GO:0004048", "anthranilate phosphoribosyltransferase activity", 0.032785097778813, null, null, 3.98627895590599, NaN, 0.857100227639317, 0.63596032, 3956, True
"GO:0004588", "orotate phosphoribosyltransferase activity", 0.0336243529655539, null, null, 3.9972552898201, NaN, 0.856886994346969, 0.63940128, 3956, True
"GO:0017061", "S-methyl-5-thioadenosine phosphorylase activity", 0.0376920333464512, null, null, 4.04684620394582, NaN, 0.855915726614891, 0.64501676, 3956, True
"GO:0003950", "NAD+ ADP-ribosyltransferase activity", 0.0420642821418916, null, null, 4.09450606645446, NaN, 0.854969940940483, 0.65424257, 3956, True
"GO:0000107", "imidazoleglycerol-phosphate synthase activity", 0.0541387277317765, null, null, 4.20409283840254, NaN, 0.852748102050818, 0.66973132, 3956, True
"GO:0004514", "nicotinate-nucleotide diphosphorylase (carboxylating) activity", 0.0595498932301582, null, null, 4.2454633133642, NaN, 0.851891786211577, 0.68530644, 3956, True
"GO:0004422", "hypoxanthine phosphoribosyltransferase activity", 0.0292656405440932, null, null, 3.93696589710787, NaN, 0.857235243299069, 0.90141192, 3956, True
"GO:0004334", "fumarylacetoacetase activity", 0.0142334972396457, -0.157187966547568, -6.98182320122456, 3.623972512017, NaN, 0.920175233412722, 0.13759081, null, False
"GO:0030429", "kynureninase activity", 0.0153367117189906, null, null, 3.65638571905869, NaN, 0.919837892304869, 0.88551007, 4334, True
"GO:0050126", "N-carbamoylputrescine amidase activity", 0.00387817114518164, -1.44846068992201, -6.60470493567741, 3.05956341790127, NaN, 0.906505007353297, 0.14036549, null, False
