TermID	Name	Frequency	Pin	Value	Uniqueness	Dispensability	Subontoloy
GO:0003777	microtubule motor activity	0.187%		NaN	0.98	0.00	MF
GO:0009976	tocopherol cyclase activity	0.002%		NaN	0.97	0.00	MF
GO:0016531	copper chaperone activity	0.009%		NaN	0.99	0.00	MF
GO:0017056	structural constituent of nuclear pore	0.066%		NaN	0.97	0.00	MF
GO:0042030	ATPase inhibitor activity	0.016%		NaN	0.98	0.00	MF
GO:0043856	anti-sigma factor antagonist activity	0.036%		NaN	0.98	0.00	MF
GO:2001070	starch binding	0.023%		NaN	1.00	0.00	MF
GO:0016251	RNA polymerase II general transcription initiation factor activity	0.016%		NaN	0.93	0.01	MF
GO:0047793	cycloeucalenol cycloisomerase activity	0.001%		NaN	0.93	0.02	MF
GO:0016853	isomerase activity	2.527%		NaN	0.95	0.02	MF
GO:0050194	phosphonoacetaldehyde hydrolase activity	0.003%		NaN	0.93	0.02	MF
GO:0045550	geranylgeranyl reductase activity	0.003%		NaN	0.92	0.02	MF
GO:0016851	magnesium chelatase activity	0.010%		NaN	0.91	0.03	MF
GO:0030366	molybdopterin synthase activity	0.016%		NaN	0.88	0.03	MF
GO:0008685	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity	0.024%		NaN	0.91	0.03	MF
GO:0032051	clathrin light chain binding	0.010%		NaN	0.99	0.03	MF
GO:0008139	nuclear localization sequence binding	0.011%		NaN	0.99	0.03	MF
GO:0005545	1-phosphatidylinositol binding	0.017%		NaN	0.99	0.03	MF
GO:0043023	ribosomal large subunit binding	0.069%		NaN	0.99	0.03	MF
GO:0008061	chitin binding	0.115%		NaN	0.99	0.04	MF
GO:0016829	lyase activity	3.597%		NaN	0.95	0.05	MF
GO:0020037	heme binding	1.452%		NaN	0.99	0.05	MF
GO:0017070	U6 snRNA binding	0.012%		NaN	0.99	0.09	MF
GO:0033916	beta-agarase activity	0.001%		NaN	0.92	0.12	MF
GO:0050487	sulfoacetaldehyde acetyltransferase activity	0.002%		NaN	0.88	0.12	MF
GO:0050333	thiamin-triphosphatase activity	0.001%		NaN	0.93	0.12	MF
GO:0046406	magnesium protoporphyrin IX methyltransferase activity	0.003%		NaN	0.87	0.12	MF
GO:0030410	nicotianamine synthase activity	0.003%		NaN	0.88	0.13	MF
GO:0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity	0.006%		NaN	0.87	0.13	MF
GO:0003956	NAD(P)+-protein-arginine ADP-ribosyltransferase activity	0.006%		NaN	0.87	0.13	MF
GO:0004334	fumarylacetoacetase activity	0.014%		NaN	0.92	0.14	MF
GO:0050126	N-carbamoylputrescine amidase activity	0.004%		NaN	0.91	0.14	MF
GO:0047389	glycerophosphocholine phosphodiesterase activity	0.004%		NaN	0.90	0.14	MF
